วันที่,รหัสหวย,รางวัลทั้งหมด,4ตัวบน,3ตัวบน,2ตัวล่าง
2026-05-03,LV_R21,"{'lottoType': 'LV_R21', 'mainNumber': '418064', 'B4': '4180', 'B3': '180', 'B2': '80', 'L2': '64', 'T4': '0148', 'T3': '018', 'L3': []}",,,
2026-05-03,VNAS,"{'lottoType': 'VNAS', 'mainNumber': '985', 'B3': '985', 'B2': '85', 'L3': [], 'L2': '09'}",,,
2026-05-03,LV_R22,"{'lottoType': 'LV_R22', 'mainNumber': '136284', 'B4': '1362', 'B3': '362', 'B2': '62', 'L2': '84', 'T4': '1236', 'T3': '236', 'L3': []}",,,
2026-05-03,LV_R23,"{'lottoType': 'LV_R23', 'mainNumber': '793109', 'B4': '7931', 'B3': '931', 'B2': '31', 'L2': '09', 'T4': '1379', 'T3': '139', 'L3': []}",,,
2026-05-03,LV_R24,"{'lottoType': 'LV_R24', 'mainNumber': '075282', 'B4': '0752', 'B3': '752', 'B2': '52', 'L2': '82', 'T4': '0257', 'T3': '257', 'L3': []}",,,
2026-05-03,LATV,"{'lottoType': 'LATV', 'mainNumber': '66314', 'B4': '6314', 'B3': '314', 'B2': '14', 'L3': [], 'L2': '66'}",,,
2026-05-03,LV_R26,"{'lottoType': 'LV_R26', 'mainNumber': '569132', 'B4': '5691', 'B3': '691', 'B2': '91', 'L2': '32', 'T4': '1569', 'T3': '169', 'L3': []}",,,
2026-05-03,LV_R27,"{'lottoType': 'LV_R27', 'mainNumber': '494362', 'B4': '4943', 'B3': '943', 'B2': '43', 'L2': '62', 'T4': '3449', 'T3': '349', 'L3': []}",,,
2026-05-03,VNHD,"{'lottoType': 'VNHD', 'mainNumber': '966', 'B3': '966', 'B2': '66', 'L3': [], 'L2': '16'}",,,
2026-05-03,LV_R30,"{'lottoType': 'LV_R30', 'mainNumber': '633943', 'B4': '6339', 'B3': '339', 'B2': '39', 'L2': '43', 'T4': '3369', 'T3': '339', 'L3': []}",,,
2026-05-03,TAIEXCIP,"{'lottoType': 'TAIEXCIP', 'mainNumber': '982', 'B3': '982', 'B2': '82', 'L3': [], 'L2': '05'}",,,
2026-05-03,LV_R33,"{'lottoType': 'LV_R33', 'mainNumber': '353743', 'B4': '3537', 'B3': '537', 'B2': '37', 'L2': '43', 'T4': '3357', 'T3': '357', 'L3': []}",,,
2026-05-03,KTOPVIP,"{'lottoType': 'KTOPVIP', 'mainNumber': '182', 'B3': '182', 'B2': '82', 'L3': [], 'L2': '11'}",,,
2026-05-03,VNSTR,"{'lottoType': 'VNSTR', 'mainNumber': '225', 'B3': '225', 'B2': '25', 'L3': [], 'L2': '55'}",,,
2026-05-03,LV_R35,"{'lottoType': 'LV_R35', 'mainNumber': '279249', 'B4': '2792', 'B3': '792', 'B2': '92', 'L2': '49', 'T4': '2279', 'T3': '279', 'L3': []}",,,
2026-05-03,LV_R36,"{'lottoType': 'LV_R36', 'mainNumber': '821152', 'B4': '8211', 'B3': '211', 'B2': '11', 'L2': '52', 'T4': '1128', 'T3': '112', 'L3': []}",,,
2026-05-03,LV_R39,"{'lottoType': 'LV_R39', 'mainNumber': '325537', 'B4': '3255', 'B3': '255', 'B2': '55', 'L2': '37', 'T4': '2355', 'T3': '255', 'L3': []}",,,
2026-05-03,VNTV,"{'lottoType': 'VNTV', 'mainNumber': '8720', 'B4': '8720', 'B3': '720', 'B2': '20', 'L3': [], 'L2': '36'}",,,
2026-05-03,HSIVIP_2,"{'lottoType': 'HSIVIP_2', 'mainNumber': '613', 'B3': '613', 'B2': '13', 'L3': [], 'L2': '10'}",,,
2026-05-03,LV_R42,"{'lottoType': 'LV_R42', 'mainNumber': '659337', 'B4': '6593', 'B3': '593', 'B2': '93', 'L2': '37', 'T4': '3569', 'T3': '359', 'L3': []}",,,
2026-05-03,LV_R44,"{'lottoType': 'LV_R44', 'mainNumber': '055224', 'B4': '0552', 'B3': '552', 'B2': '52', 'L2': '24', 'T4': '0255', 'T3': '255', 'L3': []}",,,
2026-05-03,LV_R46,"{'lottoType': 'LV_R46', 'mainNumber': '610060', 'B4': '6100', 'B3': '100', 'B2': '00', 'L2': '60', 'T4': '0016', 'T3': '001', 'L3': []}",,,
2026-05-03,LASTR,"{'lottoType': 'LASTR', 'mainNumber': '92776', 'B4': '2776', 'B3': '776', 'B2': '76', 'L3': [], 'L2': '92'}",,,
2026-05-03,LV_R53,"{'lottoType': 'LV_R53', 'mainNumber': '714873', 'B4': '7148', 'B3': '148', 'B2': '48', 'L2': '73', 'T4': '1478', 'T3': '148', 'L3': []}",,,
2026-05-03,LV_R54,"{'lottoType': 'LV_R54', 'mainNumber': '624285', 'B4': '6242', 'B3': '242', 'B2': '42', 'L2': '85', 'T4': '2246', 'T3': '224', 'L3': []}",,,
2026-05-03,LV_R10,"{'lottoType': 'LV_R10', 'mainNumber': '108460', 'B4': '1084', 'B3': '084', 'B2': '84', 'L2': '60', 'T4': '0148', 'T3': '048', 'L3': []}",,,
2026-05-03,LV_R11,"{'lottoType': 'LV_R11', 'mainNumber': '878244', 'B4': '8782', 'B3': '782', 'B2': '82', 'L2': '44', 'T4': '2788', 'T3': '278', 'L3': []}",,,
2026-05-03,LV_R12,"{'lottoType': 'LV_R12', 'mainNumber': '360028', 'B4': '3600', 'B3': '600', 'B2': '00', 'L2': '28', 'T4': '0036', 'T3': '006', 'L3': []}",,,
2026-05-03,LV_R15,"{'lottoType': 'LV_R15', 'mainNumber': '514603', 'B4': '5146', 'B3': '146', 'B2': '46', 'L2': '03', 'T4': '1456', 'T3': '146', 'L3': []}",,,
2026-05-03,LV_R16,"{'lottoType': 'LV_R16', 'mainNumber': '861259', 'B4': '8612', 'B3': '612', 'B2': '12', 'L2': '59', 'T4': '1268', 'T3': '126', 'L3': []}",,,
2026-05-03,LV_R18,"{'lottoType': 'LV_R18', 'mainNumber': '277416', 'B4': '2774', 'B3': '774', 'B2': '74', 'L2': '16', 'T4': '2477', 'T3': '477', 'L3': []}",,,
2026-05-03,LOEX,"{'lottoType': 'LOEX', 'mainNumber': '12904', 'B4': '2904', 'B3': '904', 'B2': '04', 'L3': [], 'L2': '12'}",,,
2026-05-03,LV_R20,"{'lottoType': 'LV_R20', 'mainNumber': '772520', 'B4': '7725', 'B3': '725', 'B2': '25', 'L2': '20', 'T4': '2577', 'T3': '257', 'L3': []}",,,
2026-05-03,NKYVIP_1,"{'lottoType': 'NKYVIP_1', 'mainNumber': '736', 'B3': '736', 'B2': '36', 'L3': [], 'L2': '53'}",,,
2026-05-03,LV_R28,"{'lottoType': 'LV_R28', 'mainNumber': '736334', 'B4': '7363', 'B3': '363', 'B2': '63', 'L2': '34', 'T4': '3367', 'T3': '336', 'L3': []}",,,
2026-05-03,LV_R29,"{'lottoType': 'LV_R29', 'mainNumber': '975745', 'B4': '9757', 'B3': '757', 'B2': '57', 'L2': '45', 'T4': '5779', 'T3': '577', 'L3': []}",,,
